Node Feature Group,Edge Feature Group,Adjacent Edges Only,Model,Average Accuracy,Average Precision,Average Recall,Average F-beta
['BD'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.res_gated_graph_conv.ResGatedGraphConv'>,0.925257955,0.70932311,0.579854809,0.692752131
['BD'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gat_conv.GATConv'>,0.891811178,0.602936508,0.218632789,0.502162475
['BD'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gatv2_conv.GATv2Conv'>,0.895354485,0.658000097,0.190865094,0.519140677
['BD'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.transformer_conv.TransformerConv'>,0.935094287,0.764275299,0.618511797,0.745198716
['BD'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gin_conv.GINEConv'>,0.925649336,0.775728063,0.493708409,0.729497633
['BD'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gmm_conv.GMMConv'>,0.922109896,0.738794815,0.503932244,0.700702099
['BD'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.nn_conv.NNConv'>,0.929578609,0.780744211,0.538294011,0.744976317
['BD'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gen_conv.GENConv'>,0.928402921,0.694404025,0.674168179,0.687852016
['BD'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.pdn_conv.PDNConv'>,0.915808363,0.745589528,0.395462795,0.680837337
['BD'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.general_conv.GeneralConv'>,0.92643287,0.742830014,0.545190563,0.715815343
['WE'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.res_gated_graph_conv.ResGatedGraphConv'>,0.923681605,0.714353347,0.559346643,0.693463515
['WE'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gat_conv.GATConv'>,0.892996148,0.578955742,0.236176649,0.503087022
['WE'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gatv2_conv.GATv2Conv'>,0.891818913,0.575811557,0.187779794,0.471252074
['WE'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.transformer_conv.TransformerConv'>,0.920929567,0.705146042,0.521113128,0.679451609
['WE'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gin_conv.GINEConv'>,0.933512523,0.754586824,0.642891712,0.73543268
['WE'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gmm_conv.GMMConv'>,0.925250994,0.7191279,0.548275862,0.696111756
['WE'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.nn_conv.NNConv'>,0.929971536,0.76923101,0.593647913,0.734972977
['WE'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gen_conv.GENConv'>,0.925250994,0.679217851,0.649304295,0.675461832
['WE'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.pdn_conv.PDNConv'>,0.909912133,0.709449962,0.361222021,0.644111708
['WE'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.general_conv.GeneralConv'>,0.92997231,0.770583588,0.590804598,0.738626664
['TB'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.res_gated_graph_conv.ResGatedGraphConv'>,0.909522299,0.656218469,0.43430127,0.622274738
